2025-04-11 16:43:40,766 - INFO - [fetch_influxdb_data] Successfully fetched data for topic: iot_sensors/device_alive/got1_mc_73, process: A, location: B
2025-04-11 16:43:40,776 - INFO - [fetch_influxdb_data] Successfully fetched data for topic: iot_sensors/device_alive/got1_mc_74, process: A, location: B
2025-04-11 16:43:40,793 - INFO - [fetch_influxdb_data] Successfully fetched data for topic: iot_sensors/device_alive/got1_mc_75, process: A, location: B
2025-04-11 16:43:40,809 - INFO - [fetch_influxdb_data] Successfully fetched data for topic: iot_sensors/device_alive/got1_mc_76, process: A, location: B
2025-04-11 16:43:40,813 - INFO - [fetch_influxdb_data] Successfully fetched data for topic: iot_sensors/device_alive/got1_mc_77, process: A, location: B
2025-04-11 16:43:40,817 - INFO - [fetch_influxdb_data] Successfully fetched data for topic: iot_sensors/device_alive/got1_mc_78, process: A, location: B
2025-04-11 16:43:40,823 - INFO - [fetch_influxdb_data] Successfully fetched data for topic: iot_sensors/device_alive/got1_mc_79, process: A, location: B
2025-04-11 16:43:40,836 - INFO - [fetch_influxdb_data] Successfully fetched data for topic: iot_sensors/device_alive/got1_mc_8, process: A, location: B
2025-04-11 16:43:40,841 - INFO - [fetch_influxdb_data] Successfully fetched data for topic: iot_sensors/device_alive/got1_mc_80, process: A, location: B
2025-04-11 16:43:40,847 - INFO - [fetch_influxdb_data] Successfully fetched data for topic: iot_sensors/device_alive/got1_mc_81, process: A, location: B
2025-04-11 16:43:40,851 - INFO - [fetch_influxdb_data] Successfully fetched data for topic: iot_sensors/device_alive/got1_mc_82, process: A, location: B
2025-04-11 16:43:40,856 - INFO - [fetch_influxdb_data] Successfully fetched data for topic: iot_sensors/device_alive/got1_mc_83, process: A, location: B
2025-04-11 16:43:40,860 - INFO - [fetch_influxdb_data] Successfully fetched data for topic: iot_sensors/device_alive/got1_mc_84, process: A, location: B
2025-04-11 16:43:40,865 - INFO - [fetch_influxdb_data] Successfully fetched data for topic: iot_sensors/device_alive/got1_mc_85, process: A, location: B
