2025-04-11 13:53:49,233 - DEBUG - [fetch_influxdb_data] No data found for topic: iot_sensors/iot_got1/mc_75, process: A, location: B
2025-04-11 13:53:49,237 - DEBUG - [fetch_influxdb_data] No data found for topic: iot_sensors/iot_got1/mc_76, process: A, location: B
2025-04-11 13:53:49,240 - DEBUG - [fetch_influxdb_data] No data found for topic: iot_sensors/iot_got1/mc_77, process: A, location: B
2025-04-11 13:53:49,244 - DEBUG - [fetch_influxdb_data] No data found for topic: iot_sensors/iot_got1/mc_78, process: A, location: B
2025-04-11 13:53:49,248 - DEBUG - [fetch_influxdb_data] No data found for topic: iot_sensors/iot_got1/mc_79, process: A, location: B
2025-04-11 13:53:49,252 - DEBUG - [fetch_influxdb_data] No data found for topic: iot_sensors/iot_got1/mc_80, process: A, location: B
2025-04-11 13:53:49,255 - DEBUG - [fetch_influxdb_data] No data found for topic: iot_sensors/iot_got1/mc_81, process: A, location: B
2025-04-11 13:53:49,260 - DEBUG - [fetch_influxdb_data] No data found for topic: iot_sensors/iot_got1/mc_82, process: A, location: B
2025-04-11 13:53:49,263 - DEBUG - [fetch_influxdb_data] No data found for topic: iot_sensors/iot_got1/mc_83, process: A, location: B
2025-04-11 13:53:49,267 - DEBUG - [fetch_influxdb_data] No data found for topic: iot_sensors/iot_got1/mc_84, process: A, location: B
2025-04-11 13:53:49,271 - DEBUG - [fetch_influxdb_data] No data found for topic: iot_sensors/iot_got1/mc_85, process: A, location: B
2025-04-11 13:53:49,275 - DEBUG - [fetch_influxdb_data] No data found for topic: iot_sensors/iot_got1/mc_86, process: A, location: B
2025-04-11 13:53:49,279 - DEBUG - [fetch_influxdb_data] No data found for topic: iot_sensors/iot_got1/mc_87, process: A, location: B
2025-04-11 13:53:49,282 - DEBUG - [fetch_influxdb_data] No data found for topic: iot_sensors/iot_got1/mc_88, process: A, location: B
2025-04-11 13:53:49,286 - DEBUG - [fetch_influxdb_data] No data found for topic: iot_sensors/iot_got1/mc_89, process: A, location: B
2025-04-11 13:53:49,293 - DEBUG - [fetch_influxdb_data] No data found for topic: iot_sensors/iot_got1/mc_90, process: A, location: B
2025-04-11 13:53:49,297 - DEBUG - [fetch_influxdb_data] No data found for topic: iot_sensors/iot_got1/mc_91, process: A, location: B
2025-04-11 13:53:49,302 - DEBUG - [fetch_influxdb_data] No data found for topic: iot_sensors/iot_got1/mc_92, process: A, location: B
2025-04-11 13:53:49,307 - DEBUG - [fetch_influxdb_data] No data found for topic: iot_sensors/iot_got1/mc_93, process: A, location: B
2025-04-11 13:53:49,310 - DEBUG - [fetch_influxdb_data] No data found for topic: iot_sensors/iot_got1/mc_94, process: A, location: B
2025-04-11 13:53:49,314 - DEBUG - [fetch_influxdb_data] No data found for topic: iot_sensors/iot_got1/mc_95, process: A, location: B
2025-04-11 13:53:49,317 - DEBUG - [fetch_influxdb_data] No data found for topic: iot_sensors/iot_got1/mc_96, process: A, location: B
2025-04-11 13:53:49,323 - DEBUG - [fetch_influxdb_data] No data found for topic: iot_sensors/iot_got1/mc_97, process: A, location: B
2025-04-11 13:53:49,328 - DEBUG - [fetch_influxdb_data] No data found for topic: iot_sensors/iot_got1/mc_98, process: A, location: B
2025-04-11 13:53:49,332 - DEBUG - [fetch_influxdb_data] No data found for topic: iot_sensors/iot_got1/mc_99, process: A, location: B
2025-04-11 13:53:49,335 - DEBUG - [fetch_influxdb_data] No data found for topic: iot_sensors/iot_got2/mc_01, process: A, location: B
2025-04-11 13:53:49,338 - DEBUG - [fetch_influxdb_data] No data found for topic: iot_sensors/iot_got2/mc_02, process: A, location: B
2025-04-11 13:53:49,342 - DEBUG - [fetch_influxdb_data] No data found for topic: iot_sensors/iot_got2/mc_03, process: A, location: B
2025-04-11 13:53:49,346 - DEBUG - [fetch_influxdb_data] No data found for topic: iot_sensors/iot_got2/mc_04, process: A, location: B
2025-04-11 13:53:49,349 - DEBUG - [fetch_influxdb_data] No data found for topic: iot_sensors/iot_got2/mc_05, process: A, location: B
2025-04-11 13:53:49,352 - DEBUG - [fetch_influxdb_data] No data found for topic: iot_sensors/iot_got2/mc_06, process: A, location: B
2025-04-11 13:53:49,362 - DEBUG - [fetch_influxdb_data] No data found for topic: iot_sensors/iot_got2/mc_07, process: A, location: B
2025-04-11 13:53:49,366 - DEBUG - [fetch_influxdb_data] No data found for topic: iot_sensors/iot_got2/mc_08, process: A, location: B
2025-04-11 13:53:49,371 - DEBUG - [fetch_influxdb_data] No data found for topic: iot_sensors/iot_got2/mc_09, process: A, location: B
2025-04-11 13:53:49,373 - DEBUG - [fetch_influxdb_data] No data found for topic: iot_sensors/iot_got2/mc_10, process: A, location: B
2025-04-11 13:53:49,376 - DEBUG - [fetch_influxdb_data] No data found for topic: iot_sensors/iot_got2/mc_100, process: A, location: B
2025-04-11 13:53:49,379 - DEBUG - [fetch_influxdb_data] No data found for topic: iot_sensors/iot_got2/mc_11, process: A, location: B
2025-04-11 13:53:49,382 - DEBUG - [fetch_influxdb_data] No data found for topic: iot_sensors/iot_got2/mc_12, process: A, location: B
2025-04-11 13:53:49,392 - DEBUG - [fetch_influxdb_data] No data found for topic: iot_sensors/iot_got2/mc_13, process: A, location: B
2025-04-11 13:53:49,398 - DEBUG - [fetch_influxdb_data] No data found for topic: iot_sensors/iot_got2/mc_14, process: A, location: B
2025-04-11 13:53:49,401 - DEBUG - [fetch_influxdb_data] No data found for topic: iot_sensors/iot_got2/mc_15, process: A, location: B
2025-04-11 13:53:49,405 - DEBUG - [fetch_influxdb_data] No data found for topic: iot_sensors/iot_got2/mc_16, process: A, location: B
2025-04-11 13:53:49,412 - DEBUG - [fetch_influxdb_data] No data found for topic: iot_sensors/iot_got2/mc_17, process: A, location: B
2025-04-11 13:53:49,416 - DEBUG - [fetch_influxdb_data] No data found for topic: iot_sensors/iot_got2/mc_18, process: A, location: B
2025-04-11 13:53:49,420 - DEBUG - [fetch_influxdb_data] No data found for topic: iot_sensors/iot_got2/mc_19, process: A, location: B
2025-04-11 13:53:49,424 - DEBUG - [fetch_influxdb_data] No data found for topic: iot_sensors/iot_got2/mc_20, process: A, location: B
2025-04-11 13:53:49,427 - DEBUG - [fetch_influxdb_data] No data found for topic: iot_sensors/iot_got2/mc_21, process: A, location: B
2025-04-11 13:53:49,431 - DEBUG - [fetch_influxdb_data] No data found for topic: iot_sensors/iot_got2/mc_22, process: A, location: B
2025-04-11 13:53:49,435 - DEBUG - [fetch_influxdb_data] No data found for topic: iot_sensors/iot_got2/mc_23, process: A, location: B
2025-04-11 13:53:49,438 - DEBUG - [fetch_influxdb_data] No data found for topic: iot_sensors/iot_got2/mc_24, process: A, location: B
2025-04-11 13:53:49,443 - DEBUG - [fetch_influxdb_data] No data found for topic: iot_sensors/iot_got2/mc_25, process: A, location: B
2025-04-11 13:53:49,447 - DEBUG - [fetch_influxdb_data] No data found for topic: iot_sensors/iot_got2/mc_26, process: A, location: B
2025-04-11 13:53:49,451 - DEBUG - [fetch_influxdb_data] No data found for topic: iot_sensors/iot_got2/mc_27, process: A, location: B
2025-04-11 13:53:49,455 - DEBUG - [fetch_influxdb_data] No data found for topic: iot_sensors/iot_got2/mc_28, process: A, location: B
2025-04-11 13:53:49,459 - DEBUG - [fetch_influxdb_data] No data found for topic: iot_sensors/iot_got2/mc_29, process: A, location: B
2025-04-11 13:53:49,462 - DEBUG - [fetch_influxdb_data] No data found for topic: iot_sensors/iot_got2/mc_30, process: A, location: B
2025-04-11 13:53:49,468 - DEBUG - [fetch_influxdb_data] No data found for topic: iot_sensors/iot_got2/mc_31, process: A, location: B
2025-04-11 13:53:49,474 - DEBUG - [fetch_influxdb_data] No data found for topic: iot_sensors/iot_got2/mc_32, process: A, location: B
2025-04-11 13:53:49,480 - DEBUG - [fetch_influxdb_data] No data found for topic: iot_sensors/iot_got2/mc_33, process: A, location: B
